route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order,continuous_pickup,continuous_drop_off
BRT01_1,,,Route_BRT01_1,,3,,,,,,
108_1,,,Route_108_1,,3,,,,,,
107_1,,,Route_107_1,,3,,,,,,
106_1,,,Route_106_1,,3,,,,,,
103_2,,,Route_103_2,,3,,,,,,
103_1,,,Route_103_1,,3,,,,,,
100_2,,,Route_100_2,,3,,,,,,
100_1,,,Route_100_1,,3,,,,,,
99_2,,,Route_99_2,,3,,,,,,
105_2,,,Route_105_2,,3,,,,,,
98_1,,,Route_98_1,,3,,,,,,
99_1,,,Route_99_1,,3,,,,,,
97_2,,,Route_97_2,,3,,,,,,
96_2,,,Route_96_2,,3,,,,,,
96_1,,,Route_96_1,,3,,,,,,
94_2,,,Route_94_2,,3,,,,,,
94_1,,,Route_94_1,,3,,,,,,
92_2,,,Route_92_2,,3,,,,,,
92_1,,,Route_92_1,,3,,,,,,
91_2,,,Route_91_2,,3,,,,,,
91_1,,,Route_91_1,,3,,,,,,
90_1,,,Route_90_1,,3,,,,,,
89_2,,,Route_89_2,,3,,,,,,
87_2,,,Route_87_2,,3,,,,,,
87_1,,,Route_87_1,,3,,,,,,
90_2,,,Route_90_2,,3,,,,,,
86_2,,,Route_86_2,,3,,,,,,
86_1,,,Route_86_1,,3,,,,,,
84_1,,,Route_84_1,,3,,,,,,
74_1,,,Route_74_1,,3,,,,,,
72_1,,,Route_72_1,,3,,,,,,
64_2,,,Route_64_2,,3,,,,,,
93_1,,,Route_93_1,,3,,,,,,
64_1,,,Route_64_1,,3,,,,,,
105_1,,,Route_105_1,,3,,,,,,
63_2,,,Route_63_2,,3,,,,,,
63_1,,,Route_63_1,,3,,,,,,
62_2,,,Route_62_2,,3,,,,,,
88_2,,,Route_88_2,,3,,,,,,
62_1,,,Route_62_1,,3,,,,,,
61_2,,,Route_61_2,,3,,,,,,
60B_1,,,Route_60B_1,,3,,,,,,
60A_1,,,Route_60A_1,,3,,,,,,
59_2,,,Route_59_2,,3,,,,,,
59_1,,,Route_59_1,,3,,,,,,
58_1,,,Route_58_1,,3,,,,,,
57_2,,,Route_57_2,,3,,,,,,
57_1,,,Route_57_1,,3,,,,,,
56B_1,,,Route_56B_1,,3,,,,,,
56A_2,,,Route_56A_2,,3,,,,,,
55B_2,,,Route_55B_2,,3,,,,,,
55B_1,,,Route_55B_1,,3,,,,,,
55_2,,,Route_55_2,,3,,,,,,
85_1,,,Route_85_1,,3,,,,,,
54_2,,,Route_54_2,,3,,,,,,
54_1,,,Route_54_1,,3,,,,,,
53A_1,,,Route_53A_1,,3,,,,,,
52B_1,,,Route_52B_1,,3,,,,,,
52A_1,,,Route_52A_1,,3,,,,,,
51_2,,,Route_51_2,,3,,,,,,
51_1,,,Route_51_1,,3,,,,,,
50_2,,,Route_50_2,,3,,,,,,
52B_2,,,Route_52B_2,,3,,,,,,
20B_2,,,Route_20B_2,,3,,,,,,
56B_2,,,Route_56B_2,,3,,,,,,
16_1,,,Route_16_1,,3,,,,,,
65_1,,,Route_65_1,,3,,,,,,
19_1,,,Route_19_1,,3,,,,,,
22C_2,,,Route_22C_2,,3,,,,,,
03A_1,,,Route_03A_1,,3,,,,,,
85_2,,,Route_85_2,,3,,,,,,
17_2,,,Route_17_2,,3,,,,,,
108_2,,,Route_108_2,,3,,,,,,
53B_1,,,Route_53B_1,,3,,,,,,
17_1,,,Route_17_1,,3,,,,,,
20C_2,,,Route_20C_2,,3,,,,,,
26_1,,,Route_26_1,,3,,,,,,
01_2,,,Route_01_2,,3,,,,,,
52A_2,,,Route_52A_2,,3,,,,,,
14_2,,,Route_14_2,,3,,,,,,
46_2,,,Route_46_2,,3,,,,,,
14_1,,,Route_14_1,,3,,,,,,
10B_1,,,Route_10B_1,,3,,,,,,
16_2,,,Route_16_2,,3,,,,,,
10A_1,,,Route_10A_1,,3,,,,,,
05_1,,,Route_05_1,,3,,,,,,
08A_2,,,Route_08A_2,,3,,,,,,
07_1,,,Route_07_1,,3,,,,,,
04_2,,,Route_04_2,,3,,,,,,
102_1,,,Route_102_1,,3,,,,,,
10B_2,,,Route_10B_2,,3,,,,,,
06A_1,,,Route_06A_1,,3,,,,,,
28_2,,,Route_28_2,,3,,,,,,
18_1,,,Route_18_1,,3,,,,,,
20A_2,,,Route_20A_2,,3,,,,,,
04_1,,,Route_04_1,,3,,,,,,
53A_2,,,Route_53A_2,,3,,,,,,
07_2,,,Route_07_2,,3,,,,,,
20C_1,,,Route_20C_1,,3,,,,,,
19_2,,,Route_19_2,,3,,,,,,
22A_2,,,Route_22A_2,,3,,,,,,
15_1,,,Route_15_1,,3,,,,,,
56A_1,,,Route_56A_1,,3,,,,,,
12_2,,,Route_12_2,,3,,,,,,
47A_1,,,Route_47A_1,,3,,,,,,
74_2,,,Route_74_2,,3,,,,,,
03A_2,,,Route_03A_2,,3,,,,,,
03B_2,,,Route_03B_2,,3,,,,,,
03B_1,,,Route_03B_1,,3,,,,,,
11_2,,,Route_11_2,,3,,,,,,
06E_1,,,Route_06E_1,,3,,,,,,
35A_1,,,Route_35A_1,,3,,,,,,
97_1,,,Route_97_1,,3,,,,,,
06A_2,,,Route_06A_2,,3,,,,,,
13_1,,,Route_13_1,,3,,,,,,
60B_2,,,Route_60B_2,,3,,,,,,
24_2,,,Route_24_2,,3,,,,,,
02_1,,,Route_02_1,,3,,,,,,
25_2,,,Route_25_2,,3,,,,,,
30_1,,,Route_30_1,,3,,,,,,
10A_2,,,Route_10A_2,,3,,,,,,
09_2,,,Route_09_2,,3,,,,,,
08A_1,,,Route_08A_1,,3,,,,,,
05_2,,,Route_05_2,,3,,,,,,
37_2,,,Route_37_2,,3,,,,,,
15_2,,,Route_15_2,,3,,,,,,
06C_1,,,Route_06C_1,,3,,,,,,
41_2,,,Route_41_2,,3,,,,,,
38_2,,,Route_38_2,,3,,,,,,
48_1,,,Route_48_1,,3,,,,,,
95_1,,,Route_95_1,,3,,,,,,
01_1,,,Route_01_1,,3,,,,,,
06B_1,,,Route_06B_1,,3,,,,,,
72_2,,,Route_72_2,,3,,,,,,
55_1,,,Route_55_1,,3,,,,,,
