stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code,level_id
01_1_S1,,STOP_01_1_S1,,21.048409,105.878334,,,0,,,0,,
01_1_S2,,STOP_01_1_S2,,21.04995,105.883308,,,0,,,0,,
01_1_S3,,STOP_01_1_S3,,21.045799,105.875122,,,0,,,0,,
01_1_S4,,STOP_01_1_S4,,21.042601,105.870285,,,0,,,0,,
01_1_S5,,STOP_01_1_S5,,21.041367,105.849457,,,0,,,0,,
01_1_S6,,STOP_01_1_S6,,21.037449,105.846855,,,0,,,0,,
01_1_S7,,STOP_01_1_S7,,21.031317,105.847038,,,0,,,0,,
01_1_S8,,STOP_01_1_S8,,21.02685,105.847458,,,0,,,0,,
01_1_S9,,STOP_01_1_S9,,21.026432,105.846245,,,0,,,0,,
01_1_S10,,STOP_01_1_S10,,21.025799,105.841263,,,0,,,0,,
01_1_S11,,STOP_01_1_S11,,21.023535,105.84127,,,0,,,0,,
01_1_S12,,STOP_01_1_S12,,21.019377,105.837822,,,0,,,0,,
01_1_S13,,STOP_01_1_S13,,21.019613,105.833923,,,0,,,0,,
01_1_S14,,STOP_01_1_S14,,21.01606,105.828117,,,0,,,0,,
01_1_S15,,STOP_01_1_S15,,21.011351,105.825172,,,0,,,0,,
01_1_S16,,STOP_01_1_S16,,21.007383,105.822975,,,0,,,0,,
01_1_S17,,STOP_01_1_S17,,21.000166,105.815071,,,0,,,0,,
01_1_S18,,STOP_01_1_S18,,20.996183,105.80909,,,0,,,0,,
01_1_S19,,STOP_01_1_S19,,20.993834,105.805641,,,0,,,0,,
01_1_S20,,STOP_01_1_S20,,20.990717,105.801224,,,0,,,0,,
01_1_S21,,STOP_01_1_S21,,20.988413,105.79805,,,0,,,0,,
01_1_S22,,STOP_01_1_S22,,20.986134,105.794823,,,0,,,0,,
01_1_S23,,STOP_01_1_S23,,20.983696,105.791504,,,0,,,0,,
01_1_S24,,STOP_01_1_S24,,20.980652,105.787743,,,0,,,0,,
01_1_S25,,STOP_01_1_S25,,20.979527,105.786293,,,0,,,0,,
01_1_S26,,STOP_01_1_S26,,20.975735,105.781395,,,0,,,0,,
01_1_S27,,STOP_01_1_S27,,20.972782,105.777367,,,0,,,0,,
01_1_S28,,STOP_01_1_S28,,20.969769,105.773705,,,0,,,0,,
01_1_S29,,STOP_01_1_S29,,20.9678,105.771225,,,0,,,0,,
01_1_S30,,STOP_01_1_S30,,20.965034,105.767624,,,0,,,0,,
01_1_S31,,STOP_01_1_S31,,20.962284,105.764122,,,0,,,0,,
01_1_S32,,STOP_01_1_S32,,20.960421,105.761734,,,0,,,0,,
01_1_S33,,STOP_01_1_S33,,20.958336,105.759018,,,0,,,0,,
01_1_S34,,STOP_01_1_S34,,20.954325,105.753746,,,0,,,0,,
01_1_S35,,STOP_01_1_S35,,20.952318000000002,105.75106,,,0,,,0,,
01_1_S36,,STOP_01_1_S36,,20.95006,105.747246,,,0,,,0,,
01_2_S1,,STOP_01_2_S1,,20.95006,105.747246,,,0,,,0,,
01_2_S2,,STOP_01_2_S2,,20.951674,105.750389,,,0,,,0,,
01_2_S3,,STOP_01_2_S3,,20.958303,105.759468,,,0,,,0,,
01_2_S4,,STOP_01_2_S4,,20.960468,105.762291,,,0,,,0,,
01_2_S5,,STOP_01_2_S5,,20.962835,105.765305,,,0,,,0,,
01_2_S6,,STOP_01_2_S6,,20.964884,105.767876,,,0,,,0,,
01_2_S7,,STOP_01_2_S7,,20.967434,105.77124,,,0,,,0,,
01_2_S8,,STOP_01_2_S8,,20.970819,105.77552,,,0,,,0,,
01_2_S9,,STOP_01_2_S9,,20.972668,105.777672,,,0,,,0,,
01_2_S10,,STOP_01_2_S10,,20.976084,105.78244,,,0,,,0,,
01_2_S11,,STOP_01_2_S11,,20.979868,105.787292,,,0,,,0,,
01_2_S12,,STOP_01_2_S12,,20.981335,105.78904,,,0,,,0,,
01_2_S13,,STOP_01_2_S13,,20.983316,105.791603,,,0,,,0,,
01_2_S14,,STOP_01_2_S14,,20.98645,105.79586,,,0,,,0,,
01_2_S15,,STOP_01_2_S15,,20.988768,105.799156,,,0,,,0,,
01_2_S16,,STOP_01_2_S16,,20.990467,105.801544,,,0,,,0,,
01_2_S17,,STOP_01_2_S17,,20.993601,105.806076,,,0,,,0,,
01_2_S18,,STOP_01_2_S18,,20.995634,105.808922,,,0,,,0,,
01_2_S19,,STOP_01_2_S19,,20.9988,105.813644,,,0,,,0,,
01_2_S20,,STOP_01_2_S20,,21.000988,105.816971,,,0,,,0,,
01_2_S21,,STOP_01_2_S21,,21.007866,105.823494,,,0,,,0,,
01_2_S22,,STOP_01_2_S22,,21.010567,105.82489,,,0,,,0,,
01_2_S23,,STOP_01_2_S23,,21.01712,105.828865,,,0,,,0,,
01_2_S24,,STOP_01_2_S24,,21.019537,105.833229,,,0,,,0,,
01_2_S25,,STOP_01_2_S25,,21.019182,105.838371,,,0,,,0,,
01_2_S26,,STOP_01_2_S26,,21.023582,105.843887,,,0,,,0,,
01_2_S27,,STOP_01_2_S27,,21.024117,105.844643,,,0,,,0,,
01_2_S28,,STOP_01_2_S28,,21.029617,105.846352,,,0,,,0,,
01_2_S29,,STOP_01_2_S29,,21.035433,105.845642,,,0,,,0,,
01_2_S30,,STOP_01_2_S30,,21.038649,105.846405,,,0,,,0,,
01_2_S31,,STOP_01_2_S31,,21.037817,105.852592,,,0,,,0,,
01_2_S32,,STOP_01_2_S32,,21.042812,105.871033,,,0,,,0,,
01_2_S33,,STOP_01_2_S33,,21.045933,105.875824,,,0,,,0,,
01_2_S34,,STOP_01_2_S34,,21.049299,105.875809,,,0,,,0,,
01_2_S35,,STOP_01_2_S35,,21.048409,105.878334,,,0,,,0,,
02_1_S1,,STOP_02_1_S1,,21.023434,105.860672,,,0,,,0,,
02_1_S2,,STOP_02_1_S2,,21.022484,105.861023,,,0,,,0,,
02_1_S3,,STOP_02_1_S3,,21.01885,105.860405,,,0,,,0,,
02_1_S4,,STOP_02_1_S4,,21.020817,105.858109,,,0,,,0,,
02_1_S5,,STOP_02_1_S5,,21.023333,105.856911,,,0,,,0,,
02_1_S6,,STOP_02_1_S6,,21.024282,105.8535,,,0,,,0,,
02_1_S7,,STOP_02_1_S7,,21.025249,105.850235,,,0,,,0,,
02_1_S8,,STOP_02_1_S8,,21.026697,105.84951,,,0,,,0,,
02_1_S9,,STOP_02_1_S9,,21.027634,105.846489,,,0,,,0,,
02_1_S10,,STOP_02_1_S10,,21.029699,105.842224,,,0,,,0,,
02_1_S11,,STOP_02_1_S11,,21.031282,105.839211,,,0,,,0,,
02_1_S12,,STOP_02_1_S12,,21.031252,105.835915,,,0,,,0,,
02_1_S13,,STOP_02_1_S13,,21.027449,105.833694,,,0,,,0,,
02_1_S14,,STOP_02_1_S14,,21.025032,105.832642,,,0,,,0,,
02_1_S15,,STOP_02_1_S15,,21.020243,105.83036,,,0,,,0,,
02_1_S16,,STOP_02_1_S16,,21.01606,105.828117,,,0,,,0,,
02_1_S17,,STOP_02_1_S17,,21.011351,105.825172,,,0,,,0,,
02_1_S18,,STOP_02_1_S18,,21.007383,105.822975,,,0,,,0,,
02_1_S19,,STOP_02_1_S19,,21.000166,105.815071,,,0,,,0,,
02_1_S20,,STOP_02_1_S20,,20.996183,105.80909,,,0,,,0,,
02_1_S21,,STOP_02_1_S21,,20.993834,105.805641,,,0,,,0,,
02_1_S22,,STOP_02_1_S22,,20.990717,105.801224,,,0,,,0,,
02_1_S23,,STOP_02_1_S23,,20.988413,105.79805,,,0,,,0,,
02_1_S24,,STOP_02_1_S24,,20.986134,105.794823,,,0,,,0,,
02_1_S25,,STOP_02_1_S25,,20.983696,105.791504,,,0,,,0,,
02_1_S26,,STOP_02_1_S26,,20.980652,105.787743,,,0,,,0,,
02_1_S27,,STOP_02_1_S27,,20.979527,105.786293,,,0,,,0,,
02_1_S28,,STOP_02_1_S28,,20.975735,105.781395,,,0,,,0,,
02_1_S29,,STOP_02_1_S29,,20.972782,105.777367,,,0,,,0,,
02_1_S30,,STOP_02_1_S30,,20.969769,105.773705,,,0,,,0,,
02_1_S31,,STOP_02_1_S31,,20.9678,105.771225,,,0,,,0,,
02_1_S32,,STOP_02_1_S32,,20.965034,105.767624,,,0,,,0,,
02_1_S33,,STOP_02_1_S33,,20.962284,105.764122,,,0,,,0,,
02_1_S34,,STOP_02_1_S34,,20.960421,105.761734,,,0,,,0,,
02_1_S35,,STOP_02_1_S35,,20.958336,105.759018,,,0,,,0,,
02_1_S36,,STOP_02_1_S36,,20.954325,105.753746,,,0,,,0,,
02_1_S37,,STOP_02_1_S37,,20.952318000000002,105.75106,,,0,,,0,,
02_1_S38,,STOP_02_1_S38,,20.95023,105.747459,,,0,,,0,,
02_2_S1,,STOP_02_2_S1,,20.95023,105.747459,,,0,,,0,,
02_2_S2,,STOP_02_2_S2,,20.951674,105.750389,,,0,,,0,,
02_2_S3,,STOP_02_2_S3,,20.958303,105.759468,,,0,,,0,,
02_2_S4,,STOP_02_2_S4,,20.960468,105.762291,,,0,,,0,,
02_2_S5,,STOP_02_2_S5,,20.962835,105.765305,,,0,,,0,,
02_2_S6,,STOP_02_2_S6,,20.964884,105.767876,,,0,,,0,,
02_2_S7,,STOP_02_2_S7,,20.967434,105.77124,,,0,,,0,,
02_2_S8,,STOP_02_2_S8,,20.970819,105.77552,,,0,,,0,,
02_2_S9,,STOP_02_2_S9,,20.972668,105.777672,,,0,,,0,,
02_2_S10,,STOP_02_2_S10,,20.976084,105.78244,,,0,,,0,,
02_2_S11,,STOP_02_2_S11,,20.979868,105.787292,,,0,,,0,,
02_2_S12,,STOP_02_2_S12,,20.981335,105.78904,,,0,,,0,,
02_2_S13,,STOP_02_2_S13,,20.983316,105.791603,,,0,,,0,,
02_2_S14,,STOP_02_2_S14,,20.98645,105.79586,,,0,,,0,,
02_2_S15,,STOP_02_2_S15,,20.988768,105.799156,,,0,,,0,,
02_2_S16,,STOP_02_2_S16,,20.990467,105.801544,,,0,,,0,,
02_2_S17,,STOP_02_2_S17,,20.993601,105.806076,,,0,,,0,,
02_2_S18,,STOP_02_2_S18,,20.995634,105.808922,,,0,,,0,,
02_2_S19,,STOP_02_2_S19,,20.9988,105.813644,,,0,,,0,,
02_2_S20,,STOP_02_2_S20,,21.000988,105.816971,,,0,,,0,,
02_2_S21,,STOP_02_2_S21,,21.007866,105.823494,,,0,,,0,,
02_2_S22,,STOP_02_2_S22,,21.010567,105.82489,,,0,,,0,,
02_2_S23,,STOP_02_2_S23,,21.01712,105.828865,,,0,,,0,,
02_2_S24,,STOP_02_2_S24,,21.02021,105.830566,,,0,,,0,,
02_2_S25,,STOP_02_2_S25,,21.024202,105.832359,,,0,,,0,,
02_2_S26,,STOP_02_2_S26,,21.028866,105.834709,,,0,,,0,,
02_2_S27,,STOP_02_2_S27,,21.029783,105.838791,,,0,,,0,,
02_2_S28,,STOP_02_2_S28,,21.028612,105.842827,,,0,,,0,,
02_2_S29,,STOP_02_2_S29,,21.026249,105.846542,,,0,,,0,,
02_2_S30,,STOP_02_2_S30,,21.025249,105.849976,,,0,,,0,,
02_2_S31,,STOP_02_2_S31,,21.024067,105.853905,,,0,,,0,,
02_2_S32,,STOP_02_2_S32,,21.023899,105.856659,,,0,,,0,,
02_2_S33,,STOP_02_2_S33,,21.023434,105.860672,,,0,,,0,,
03A_1_S1,,STOP_03A_1_S1,,20.980366,105.841629,,,0,,,0,,
03A_1_S2,,STOP_03A_1_S2,,20.984922,105.841011,,,0,,,0,,
03A_1_S3,,STOP_03A_1_S3,,20.989628,105.841103,,,0,,,0,,
03A_1_S4,,STOP_03A_1_S4,,20.993633,105.841125,,,0,,,0,,
03A_1_S5,,STOP_03A_1_S5,,21.001217,105.841293,,,0,,,0,,
03A_1_S6,,STOP_03A_1_S6,,21.005167,105.841362,,,0,,,0,,
03A_1_S7,,STOP_03A_1_S7,,21.009634,105.841209,,,0,,,0,,
03A_1_S8,,STOP_03A_1_S8,,21.014366,105.841293,,,0,,,0,,
03A_1_S9,,STOP_03A_1_S9,,21.023582,105.843887,,,0,,,0,,
03A_1_S10,,STOP_03A_1_S10,,21.02216,105.848801,,,0,,,0,,
03A_1_S11,,STOP_03A_1_S11,,21.019699,105.857277,,,0,,,0,,
03A_1_S12,,STOP_03A_1_S12,,21.018633,105.86071,,,0,,,0,,
03A_1_S13,,STOP_03A_1_S13,,21.022366,105.86132,,,0,,,0,,
03A_1_S14,,STOP_03A_1_S14,,21.028416,105.858177,,,0,,,0,,
03A_1_S15,,STOP_03A_1_S15,,21.032249,105.85627,,,0,,,0,,
03A_1_S16,,STOP_03A_1_S16,,21.037817,105.852592,,,0,,,0,,
03A_1_S17,,STOP_03A_1_S17,,21.042633,105.870605,,,0,,,0,,
03A_1_S18,,STOP_03A_1_S18,,21.045933,105.875824,,,0,,,0,,
03A_1_S19,,STOP_03A_1_S19,,21.049299,105.875809,,,0,,,0,,
03A_1_S20,,STOP_03A_1_S20,,21.048162,105.878571,,,0,,,0,,
03A_2_S1,,STOP_03A_2_S1,,21.048162,105.878571,,,0,,,0,,
03A_2_S2,,STOP_03A_2_S2,,21.049782,105.883057,,,0,,,0,,
03A_2_S3,,STOP_03A_2_S3,,21.045799,105.875122,,,0,,,0,,
03A_2_S4,,STOP_03A_2_S4,,21.042601,105.870285,,,0,,,0,,
03A_2_S5,,STOP_03A_2_S5,,21.037966,105.852821,,,0,,,0,,
03A_2_S6,,STOP_03A_2_S6,,21.032383,105.855942,,,0,,,0,,
03A_2_S7,,STOP_03A_2_S7,,21.025534,105.859459,,,0,,,0,,
03A_2_S8,,STOP_03A_2_S8,,21.022484,105.861023,,,0,,,0,,
03A_2_S9,,STOP_03A_2_S9,,21.01885,105.860405,,,0,,,0,,
03A_2_S10,,STOP_03A_2_S10,,21.019751,105.857277,,,0,,,0,,
03A_2_S11,,STOP_03A_2_S11,,21.020597,105.85434,,,0,,,0,,
03A_2_S12,,STOP_03A_2_S12,,21.021751,105.850616,,,0,,,0,,
03A_2_S13,,STOP_03A_2_S13,,21.0231,105.845856,,,0,,,0,,
03A_2_S14,,STOP_03A_2_S14,,21.023535,105.84127,,,0,,,0,,
03A_2_S15,,STOP_03A_2_S15,,21.015844,105.841179,,,0,,,0,,
03A_2_S16,,STOP_03A_2_S16,,21.010401,105.841125,,,0,,,0,,
03A_2_S17,,STOP_03A_2_S17,,21.005167,105.841042,,,0,,,0,,
03A_2_S18,,STOP_03A_2_S18,,21.0012,105.841026,,,0,,,0,,
03A_2_S19,,STOP_03A_2_S19,,20.993433,105.840927,,,0,,,0,,
03A_2_S20,,STOP_03A_2_S20,,20.98785,105.84079,,,0,,,0,,
03A_2_S21,,STOP_03A_2_S21,,20.984484,105.840759,,,0,,,0,,
03A_2_S22,,STOP_03A_2_S22,,20.980366,105.841629,,,0,,,0,,
03B_1_S1,,STOP_03B_1_S1,,20.964901,105.842392,,,0,,,0,,
