route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
27757,,1,SO.MIAMI HTS-PERRINE VIA SOUTHLAND,,3,,FF00FF,FFFFFF
27758,,2,DOWNTOWN-163 ST MALL VIA NW 2 AVE,,3,,008000,FFFFFF
27759,,3,AVENTURA-DOWNTOWN VIA BISC.BLVD.,,3,,800080,FFFFFF
27760,,7,DOWNTOWN-DOLPH MALL/AIRPORT VIA 7ST,,3,,FF0000,FFFFFF
27761,,8,BRICKELL-107AV/WSTCHSTR VIA SW 8 ST,,3,,800000,FFFFFF
27762,,9,AVENTURA-DOWNTOWN VIA NE 6 & 2 AVE,,3,,00FF00,FFFFFF
27763,,10,SKYLAKE - OMNI - VIA NE12 & 2AVE,,3,,800080,FFFFFF
27764,,11,FIU-DOWNTOWN VIA FLAGLER ST,,3,,008000,FFFFFF
27765,,12,NORTHSIDE - MERCY HOSP.,,3,,FF00FF,FFFFFF
27766,,16,163 ST-OMNI VIA 16AV & BISC. BLVD,,3,,808040,FFFFFF
27767,,17,NORWOOD - VIZCAYA VIA NW-SW17AVE,,3,,008040,FFFFFF
27768,,19,163 ST MALL-MDC NORTH,,3,,FF8000,FFFFFF
27769,,21,NORTHSIDE - DOWNTOWN,,3,,00FFFF,FFFFFF
27770,,22,163 ST MALL-COCO GROVE VIA 22 AVE,,3,,800080,FFFFFF
27771,,24,CORAL WAY LIMITED,,3,,00FF00,FFFFFF
28073,,26,BRICKELL STATION-KEY BISCAYNE,,3,,800080,
27772,,27,COCO GROVE-CALDER VIA NW 27 AVE,,3,,FF0000,FFFFFF
27773,,29,HIALEAH TRIANGLE-MIAMI LAKES,,3,,400040,FFFFFF
27775,,32,MIAMI GRDNS-OMNI VIA NW 32 AVE-20ST,,3,,FF8000,FFFFFF
27776,,33,HIA GRDNS-BISC BLVD VIA 49/103 ST,,3,,808000,FFFFFF
27777,,34,EXPRESS: FLA CITY TO DADELAND SO,,3,,000000,FFFFFF
27778,,35,MDC KENDALL-FLA.CITY VIA CUTLER BAY,,3,,FF00FF,FFFFFF
27779,,36,DOLPHIN-DORAL-MIA.SPGS-VIA NW 36 ST,,3,,FF8040,FFFFFF
27780,,37,HIALEAH-SO.MIAMI VIA PALM/37 AVE,,3,,004000,FFFFFF
