stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
1,115AQRSN,Quail Roost Dr & SW 115 Ave,SW 107TH AVE & SW 112TH ST,25.59245,-80.37795,,,,,,0
2,CTLRTERW,SW 211 ST @ OP S DADE GOVT CTR,,25.57193,-80.36665,,,,,,0
4,152SBSWN,BUSWAY & SW 152 ST,,25.628291,-80.341621,,,,,,0
5,136SBSWN,BUSWAY & SW 136 ST,,25.644519,-80.334092,,,,,,0
6,DADLSOUT,DADELAND SOUTH METRORAIL STATION,DADELAND SOUTH STA & 9150 DADELAND BD,25.685035,-80.313665,,,,,,0
10,136SBSWS,BUSWAY & SW 136 ST,,25.644544,-80.334261,,,,,,0
11,152SBSWS,BUSWAY & SW 152 ST,,25.62821,-80.341854,,,,,,0
13,CTLRTERE,SW 211 ST @ SW 107 AV,,25.57194,-80.36583,,,,,,0
16,NMAV167S,N MIAMI AV @ NW 167 ST,,25.92741,-80.20037,,,,,,0
17,119SMIAS,N MIAMI AV @ NW 119 ST,,25.8851,-80.19852,,,,,,0
18,84STNE2S,NE 2 AV & NE 84 ST,,25.852506,-80.193067,,,,,,0
19,NW2A79SS,NW 2 AV @ NW 79 ST,,25.84687,-80.20105,,,,,,0
20,NW2A36SS,NW 2 AV @ NW 35 ST,,25.80973,-80.19947,,,,,,0
22,MDCCDNTT,NE 1 AV & 4 ST,NE 1 AV & NE 4 ST,25.777782,-80.191912,,,,,,0
24,OVERTOWT,NW 6 ST & 1 AV,OVERTOWN STA & 550 NW 1 AV,25.77994,-80.19606,,,,,,0
25,NW2A36SN,NW 2 AV @ NW 35 ST,,25.80989,-80.1993,,,,,,0
26,NW2A79SN,NW 2 AV @ NW 79 ST,,25.8467,-80.20087,,,,,,0
27,84STNE2N,NE 84 ST @ NE 2 AV,,25.85235,-80.19323,,,,,,0
28,119SMIAN,N MIAMI AV @ NE 119 ST,,25.88469,-80.19831,,,,,,0
29,NMAV167N,NE 167 ST @ N MIAMI AV,,25.92794,-80.19998,,,,,,0
30,167STERT,NE 167TH ST @ NE 15 AVE,,25.92925,-80.17045,,,,,,0
31,DIPLMALT,HALLANDALE BEACH BD & NE 14 AV,,25.986013,-80.133876,,,,,,0
32,B.B.209S,BISCAYNE BD & NE 209 ST,,25.969326,-80.144565,,,,,,0
34,AVENMALT,BUS TERMINAL AT AVENTURA MALL,Bus Terminal & Aventura Mall,25.958462,-80.145053,,,,,,0
35,163SBISS,BISCAYNE BLVD & NE 163 ST,BISCAYNE BD & NE 163 ST,25.925406,-80.154255,,,,,,0
36,B.B.123S,BISCAYNE BLVD & NE 123 ST,BISCAYNE BD & NE 123 ST,25.889105,-80.163964,,,,,,0
37,B.B.79SS,BISCAYNE BLVD & NE 79 ST,BISCAYNE BD & NE 79 ST,25.848265,-80.184744,,,,,,0
38,B.B.36SS,BISCAYNE BLVD & NE 36 ST,BISCAYNE BD & NE 36 ST,25.811274,-80.189528,,,,,,0
39,OMNITERT,OMNI TERMINAL / ARSHT METROMOVER,OMNI BUS TERMINAL & NE 15 ST/BISCAYNE,25.789235,-80.188301,,,,,,0
40,CBD.TERT,DOWNTOWN METROBUS TERMINAL,CBD TERMINAL & SW 1 AV OP FEDERAL B,25.773741,-80.195936,,,,,,0
43,B.B.36SN,BISCAYNE BLVD & NE 36 ST,BISCAYNE BLVD & I 195,25.811461,-80.189342,,,,,,0
44,B.B.79SN,BISCAYNE BLVD & NE 79 ST,BISCAYNE BD & NE 79 ST,25.84815,-80.184514,,,,,,0
45,B.B.123N,BISCAYNE BLVD & NE 123 ST,BISCAYNE BD & NE 123 ST,25.889044,-80.163695,,,,,,0
48,YAHTCLUN,E COUNTRY CLUB DR & YACHT CLUB WAY,E COUNTRY CLUB DR & YACHT CLUB WY,25.956407,-80.130295,,,,,,0
49,B.B.209N,BISCAYNE BD & NE 209 ST,,25.968846,-80.14443,,,,,,0
55,36STLEJE,NW 36 ST & 42 AV,,25.8083,-80.263805,,,,,,0
56,MIA.TERT,MIAMI INTL AIRPORT GROUND LEVEL,MIA & LOWER LEVEL RAMP,25.795179,-80.27803,,,,,,0
57,42AVNW7E,NW 7 ST & 42 AV,NW 7 ST & NW 42 AV,25.778623,-80.263333,,,,,,0
58,NW7S22AE,NW 7 ST & 22 AV,NW 7 ST & NW 22 AV,25.779593,-80.231536,,,,,,0
59,SW1S1CRE,SW 1 ST & 1 CT,SW 1 ST & SW 1 CT,25.773176,-80.196472,,,,,,0
63,NW7S22AW,NW 7 ST & 22 AV,NW 7 ST & NW 22 AV,25.779801,-80.230906,,,,,,0
64,42AVNW7W,NW 7 ST & NW 42 AV,,25.778814,-80.264598,,,,,,0
66,36STLEJW,NW 36 ST & COOLIDGE DR,,25.808483,-80.265315,,,,,,0
71,UNIVSTAT,UNIVERSITY METRORAIL STATION,UNIVERSITY STA & 5000 PONCE DE LEON B,25.714902,-80.27718,,,,,,0
73,SW8S87AE,SW 8 ST & 87 AV,SW 8 ST & SW 87 AV,25.761736,-80.337521,,,,,,0
74,SW8S57AE,SW 8 ST & 57 AV,SW 8 ST & SW 57 AV,25.763467,-80.288412,,,,,,0
